atoll,median_nbirds,lower_nbirds,upper_nbirds
Ravahere,1097,19,8891
Rawaki,1255328,1255328,1255328
Reao,6646,237,43489
Redlick,0,0,0
Reitoru,5165,4548,9668
Rekareka,2084,74,12619
Rongelap,9929,710,51234
Rongerik,43415,4228,495898
Rose,136824,136824,136824
Rowa,0,0,0
Saloman,6118,6118,6118
Sama,0,0,0
Samasuma,0,0,0
Sapwuahfik,2757,88,19328
Satawan,3161,175,20213
Scilly,1398,592,7370
Sorol,2023,2023,2023
South_Maalhosmadulu,0,0,0
South_Nilandhe,0,0,0
St_Francois,200,24,5387
St_Joseph,58905,58184,65656
Starbuck,3004612,3000078,3043027
Suheli_Par,1900,1900,1900
Surprise,98329,98329,98329
Suwarrow,188260,188260,188260
Swains,12913,12913,12913
Tabiteuea,19848,755,169747
Tabuaeran,54698,10323,742230
Taenga,2002,26,15619
Tahanea,2560,2560,2560
Taiaro,2991,167,14923
Taka,76903,76903,76903
Takapoto,3205,161,17365
Takaroa,46867,85,692740
Takume,2260,47,14537
Takuu,4240,1203,39122
Tarawa,8128,117,92853
Tatakoto,2724,13,25672
Tauere,3930,184,20536
Tekokota,2341,2341,2341
Temitangi,5729,98,38525
Temoe,5370,5370,5370
Tenararo,2664,2660,2728
Tenaruga,206,0,2805
Tepoto,429,4,3601
Teraina,11629,4345,58103
Tetiaroa,42513,31728,138152
Thiladhunmathi,0,0,0
Tikehau,5989,248,47802
Toau,2925,2925,2925
Tongareva,34935,1996,246243
Tuanake,767,8,6201
Tubbataha,28178,28178,28178
Tupai,1145,17,8702
Tureia,2900,38,22971
Ujae,7762,688,39762
Ujelang,26586,771,237067
Ulithi,7980,198,87659
Utirik,650,4,7429
Vahanga,500,500,500
Vahitahi,5078,272,26917
Vairaatea,3287,75,19977
Vaitupu,5883,235,36528
Vanavana,2655,60,15680
Vattaru,0,0,0
Wailagilala,10827,391,70825
Wake,57283,57283,57283
West_Fayu,3128,46,26879
Woleai,6111,122,53621
Wotho,8028,586,40443
Wotje,5967,140,40799
